Crime Type,Subject Count,State/Territory,Year
Advanced Fee,63,Alabama,2017
BEC/EAC,39,Alabama,2017
Charity,0,Alabama,2017
Civil Matter,4,Alabama,2017
Confidence Fraud/Romance,53,Alabama,2017
Corporate Data Breach,4,Alabama,2017
Credit Card Fraud,52,Alabama,2017
Crimes Against Children,3,Alabama,2017
Criminal Forums,0,Alabama,2017
Denial of Service/TDos,3,Alabama,2017
Employment,31,Alabama,2017
Extortion,29,Alabama,2017
Gambling,0,Alabama,2017
Government Impersonation,13,Alabama,2017
Hacktivist,0,Alabama,2017
Harassment/Threats of Violence,88,Alabama,2017
Health Care Related,0,Alabama,2017
IPR/Copyright and Counterfeit,8,Alabama,2017
Identity Theft,35,Alabama,2017
Investment,13,Alabama,2017
Lottery/Sweepstakes/Inheritance,14,Alabama,2017
Malware/Scareware/Virus,4,Alabama,2017
Misrepresentation,17,Alabama,2017
No Lead Value,98,Alabama,2017
Non-payment/Non-Delivery,368,Alabama,2017
Other,22,Alabama,2017
Overpayment,76,Alabama,2017
Personal Data Breach,101,Alabama,2017
Phishing/Vishing/Smishing/Pharming,42,Alabama,2017
Ransomware,1,Alabama,2017
Re-shipping,1,Alabama,2017
Real Estate/Rental,44,Alabama,2017
Spoofing,0,Alabama,2017
Tech Support,8,Alabama,2017
Terrorism,0,Alabama,2017
Social Media,88,Alabama,2017
Virtual Currency,8,Alabama,2017
Advanced Fee,11,Alaska,2017
BEC/EAC,4,Alaska,2017
Charity,0,Alaska,2017
Civil Matter,2,Alaska,2017
Confidence Fraud/Romance,19,Alaska,2017
Corporate Data Breach,1,Alaska,2017
Credit Card Fraud,7,Alaska,2017
Crimes Against Children,1,Alaska,2017
Criminal Forums,0,Alaska,2017
Denial of Service/TDos,0,Alaska,2017
Employment,4,Alaska,2017
Extortion,9,Alaska,2017
Gambling,0,Alaska,2017
Government Impersonation,2,Alaska,2017
Hacktivist,0,Alaska,2017
Harassment/Threats of Violence,26,Alaska,2017
Health Care Related,0,Alaska,2017
IPR/Copyright and Counterfeit,1,Alaska,2017
Identity Theft,12,Alaska,2017
Investment,1,Alaska,2017
Lottery/Sweepstakes/Inheritance,3,Alaska,2017
Malware/Scareware/Virus,0,Alaska,2017
Misrepresentation,4,Alaska,2017
No Lead Value,30,Alaska,2017
Non-payment/Non-Delivery,92,Alaska,2017
Other,11,Alaska,2017
Overpayment,9,Alaska,2017
Personal Data Breach,29,Alaska,2017
Phishing/Vishing/Smishing/Pharming,11,Alaska,2017
Ransomware,0,Alaska,2017
Re-shipping,1,Alaska,2017
Real Estate/Rental,12,Alaska,2017
Spoofing,0,Alaska,2017
Tech Support,1,Alaska,2017
Terrorism,0,Alaska,2017
Social Media,31,Alaska,2017
Virtual Currency,0,Alaska,2017
Advanced Fee,0,American Samoa,2017
BEC/EAC,0,American Samoa,2017
Charity,0,American Samoa,2017
Civil Matter,0,American Samoa,2017
Confidence Fraud/Romance,0,American Samoa,2017
Corporate Data Breach,0,American Samoa,2017
Credit Card Fraud,0,American Samoa,2017
Crimes Against Children,0,American Samoa,2017
Criminal Forums,0,American Samoa,2017
Denial of Service/TDos,0,American Samoa,2017
Employment,0,American Samoa,2017
Extortion,0,American Samoa,2017
Gambling,0,American Samoa,2017
Government Impersonation,0,American Samoa,2017
Hacktivist,0,American Samoa,2017
Harassment/Threats of Violence,2,American Samoa,2017
Health Care Related,0,American Samoa,2017
IPR/Copyright and Counterfeit,0,American Samoa,2017
Identity Theft,0,American Samoa,2017
Investment,0,American Samoa,2017
Lottery/Sweepstakes/Inheritance,0,American Samoa,2017
Malware/Scareware/Virus,0,American Samoa,2017
Misrepresentation,0,American Samoa,2017
No Lead Value,0,American Samoa,2017
Non-payment/Non-Delivery,2,American Samoa,2017
Other,0,American Samoa,2017
Overpayment,0,American Samoa,2017
Personal Data Breach,1,American Samoa,2017
