Crime Type,Loss Amount,State/Territory,Year
Advanced Fee,"$214,018",Alabama,2017
BEC/EAC,"$567,957",Alabama,2017
Charity,$0,Alabama,2017
Civil Matter,$0,Alabama,2017
Confidence Fraud/Romance,"$933,159",Alabama,2017
Corporate Data Breach,$500,Alabama,2017
Credit Card Fraud,"$68,837",Alabama,2017
Crimes Against Children,$0,Alabama,2017
Criminal Forums,$0,Alabama,2017
Denial of Service/TDos,$0,Alabama,2017
Employment,"$54,588",Alabama,2017
Extortion,"$21,112",Alabama,2017
Gambling,$0,Alabama,2017
Government Impersonation,"$6,050",Alabama,2017
Hacktivist,$0,Alabama,2017
Harassment/Threats of Violence,"$50,487",Alabama,2017
Health Care Related,$0,Alabama,2017
IPR/Copyright and Counterfeit,"$81,456",Alabama,2017
Identity Theft,"$13,150",Alabama,2017
Investment,"$217,365",Alabama,2017
Lottery/Sweepstakes/Inheritance,"$138,200",Alabama,2017
Malware/Scareware/Virus,$199,Alabama,2017
Misrepresentation,"$72,825",Alabama,2017
No Lead Value,$0,Alabama,2017
Non-payment/Non-Delivery,"$900,337",Alabama,2017
Other,"$48,465",Alabama,2017
Overpayment,"$199,215",Alabama,2017
Personal Data Breach,"$117,093",Alabama,2017
Phishing/Vishing/Smishing/Pharming,"$37,035",Alabama,2017
Ransomware,$0,Alabama,2017
Re-shipping,$0,Alabama,2017
Real Estate/Rental,"$277,418",Alabama,2017
Spoofing,$0,Alabama,2017
Tech Support,"$2,294",Alabama,2017
Terrorism,$0,Alabama,2017
Social Media,"$370,158",Alabama,2017
Virtual Currency,"$7,565",Alabama,2017
Advanced Fee,"$13,620",Alaska,2017
BEC/EAC,"$58,400",Alaska,2017
Charity,$0,Alaska,2017
Civil Matter,$5,Alaska,2017
Confidence Fraud/Romance,"$55,674",Alaska,2017
Corporate Data Breach,$0,Alaska,2017
Credit Card Fraud,"$57,109",Alaska,2017
Crimes Against Children,$0,Alaska,2017
Criminal Forums,$0,Alaska,2017
Denial of Service/TDos,$0,Alaska,2017
Employment,$986,Alaska,2017
Extortion,"$10,115",Alaska,2017
Gambling,$0,Alaska,2017
Government Impersonation,"$1,570",Alaska,2017
Hacktivist,$0,Alaska,2017
Harassment/Threats of Violence,"$7,000",Alaska,2017
Health Care Related,$0,Alaska,2017
IPR/Copyright and Counterfeit,$0,Alaska,2017
Identity Theft,"$65,177",Alaska,2017
Investment,$0,Alaska,2017
Lottery/Sweepstakes/Inheritance,"$4,298",Alaska,2017
Malware/Scareware/Virus,$0,Alaska,2017
Misrepresentation,$211,Alaska,2017
No Lead Value,$0,Alaska,2017
Non-payment/Non-Delivery,"$236,811",Alaska,2017
Other,"$1,766",Alaska,2017
Overpayment,"$42,304",Alaska,2017
Personal Data Breach,"$21,535",Alaska,2017
Phishing/Vishing/Smishing/Pharming,"$15,550",Alaska,2017
Ransomware,$0,Alaska,2017
Re-shipping,$986,Alaska,2017
Real Estate/Rental,"$21,724",Alaska,2017
Spoofing,$0,Alaska,2017
Tech Support,"$8,100",Alaska,2017
Terrorism,$0,Alaska,2017
Social Media,"$61,644",Alaska,2017
Virtual Currency,$0,Alaska,2017
Advanced Fee,$0,American Samoa,2017
BEC/EAC,$0,American Samoa,2017
Charity,$0,American Samoa,2017
Civil Matter,$0,American Samoa,2017
Confidence Fraud/Romance,$0,American Samoa,2017
Corporate Data Breach,$0,American Samoa,2017
Credit Card Fraud,$0,American Samoa,2017
