Crime Type,Victim Count,State/Territory,Year
Advanced Fee,220,Alabama,2017
BEC/EAC,135,Alabama,2017
Charity,9,Alabama,2017
Civil Matter,10,Alabama,2017
Confidence Fraud/Romance,188,Alabama,2017
Corporate Data Breach,23,Alabama,2017
Credit Card Fraud,637,Alabama,2017
Crimes Against Children,22,Alabama,2017
Criminal Forums,0,Alabama,2017
Denial of Service/TDos,11,Alabama,2017
Employment,170,Alabama,2017
Extortion,190,Alabama,2017
Gambling,0,Alabama,2017
Government Impersonation,109,Alabama,2017
Hacktivist,2,Alabama,2017
Harassment/Threats of Violence,207,Alabama,2017
Health Care Related,5,Alabama,2017
IPR/Copyright and Counterfeit,32,Alabama,2017
Identity Theft,287,Alabama,2017
Investment,12,Alabama,2017
Lottery/Sweepstakes/Inheritance,52,Alabama,2017
Malware/Scareware/Virus,30,Alabama,2017
Misrepresentation,60,Alabama,2017
No Lead Value,144,Alabama,2017
Non-payment/Non-Delivery,"1,034",Alabama,2017
Other,138,Alabama,2017
Overpayment,222,Alabama,2017
Personal Data Breach,551,Alabama,2017
Phishing/Vishing/Smishing/Pharming,231,Alabama,2017
Ransomware,15,Alabama,2017
Re-shipping,18,Alabama,2017
Real Estate/Rental,72,Alabama,2017
Spoofing,0,Alabama,2017
Tech Support,119,Alabama,2017
Terrorism,2,Alabama,2017
Social Media,305,Alabama,2017
Virtual Currency,20,Alabama,2017
Advanced Fee,54,Alaska,2017
BEC/EAC,41,Alaska,2017
Charity,1,Alaska,2017
Civil Matter,2,Alaska,2017
Confidence Fraud/Romance,46,Alaska,2017
Corporate Data Breach,7,Alaska,2017
Credit Card Fraud,67,Alaska,2017
Crimes Against Children,17,Alaska,2017
Criminal Forums,0,Alaska,2017
Denial of Service/TDos,2,Alaska,2017
Employment,35,Alaska,2017
Extortion,83,Alaska,2017
Gambling,1,Alaska,2017
Government Impersonation,32,Alaska,2017
Hacktivist,1,Alaska,2017
Harassment/Threats of Violence,85,Alaska,2017
Health Care Related,6,Alaska,2017
IPR/Copyright and Counterfeit,8,Alaska,2017
Identity Theft,73,Alaska,2017
Investment,5,Alaska,2017
Lottery/Sweepstakes/Inheritance,29,Alaska,2017
Malware/Scareware/Virus,2,Alaska,2017
Misrepresentation,10,Alaska,2017
No Lead Value,115,Alaska,2017
Non-payment/Non-Delivery,148,Alaska,2017
Other,157,Alaska,2017
Overpayment,87,Alaska,2017
Personal Data Breach,105,Alaska,2017
Phishing/Vishing/Smishing/Pharming,383,Alaska,2017
Ransomware,7,Alaska,2017
Re-shipping,3,Alaska,2017
Real Estate/Rental,30,Alaska,2017
Spoofing,0,Alaska,2017
Tech Support,36,Alaska,2017
Terrorism,1,Alaska,2017
Social Media,122,Alaska,2017
Virtual Currency,6,Alaska,2017
Advanced Fee,2,American Samoa,2017
BEC/EAC,0,American Samoa,2017
Charity,0,American Samoa,2017
Civil Matter,0,American Samoa,2017
Confidence Fraud/Romance,0,American Samoa,2017
Corporate Data Breach,0,American Samoa,2017
Credit Card Fraud,0,American Samoa,2017
Crimes Against Children,0,American Samoa,2017
Criminal Forums,0,American Samoa,2017
Denial of Service/TDos,0,American Samoa,2017
Employment,0,American Samoa,2017
Extortion,1,American Samoa,2017
Gambling,0,American Samoa,2017
Government Impersonation,0,American Samoa,2017
Hacktivist,0,American Samoa,2017
Harassment/Threats of Violence,3,American Samoa,2017
Health Care Related,0,American Samoa,2017
IPR/Copyright and Counterfeit,0,American Samoa,2017
