Crime Type,Loss Amount,State/Territory,Year
Advanced Fee,"$711,418",Alabama,2017
BEC/EAC,"$3,211,463",Alabama,2017
Charity,"$7,049",Alabama,2017
Civil Matter,"$2,785",Alabama,2017
Confidence Fraud/Romance,"$2,820,059",Alabama,2017
Corporate Data Breach,"$379,909",Alabama,2017
Credit Card Fraud,"$843,659",Alabama,2017
Crimes Against Children,$0,Alabama,2017
Criminal Forums,$0,Alabama,2017
Denial of Service/TDos,$98,Alabama,2017
Employment,"$232,838",Alabama,2017
Extortion,"$492,487",Alabama,2017
Gambling,$0,Alabama,2017
Government Impersonation,"$175,342",Alabama,2017
Hacktivist,$0,Alabama,2017
Harassment/Threats of Violence,"$429,580",Alabama,2017
Health Care Related,$75,Alabama,2017
IPR/Copyright and Counterfeit,"$21,345",Alabama,2017
Identity Theft,"$240,137",Alabama,2017
Investment,"$77,539",Alabama,2017
Lottery/Sweepstakes/Inheritance,"$270,747",Alabama,2017
Malware/Scareware/Virus,"$4,650",Alabama,2017
Misrepresentation,"$65,836",Alabama,2017
No Lead Value,$0,Alabama,2017
Non-payment/Non-Delivery,"$1,366,518",Alabama,2017
Other,"$147,401",Alabama,2017
Overpayment,"$472,156",Alabama,2017
Personal Data Breach,"$282,231",Alabama,2017
Phishing/Vishing/Smishing/Pharming,"$117,550",Alabama,2017
Ransomware,$550,Alabama,2017
Re-shipping,"$6,000",Alabama,2017
Real Estate/Rental,"$114,183",Alabama,2017
Spoofing,$0,Alabama,2017
Tech Support,"$36,312",Alabama,2017
Terrorism,$0,Alabama,2017
Social Media,"$1,903,194",Alabama,2017
Virtual Currency,"$11,120",Alabama,2017
Advanced Fee,"$184,119",Alaska,2017
BEC/EAC,"$409,407",Alaska,2017
Charity,$0,Alaska,2017
Civil Matter,$190,Alaska,2017
Confidence Fraud/Romance,"$389,478",Alaska,2017
Corporate Data Breach,"$3,630",Alaska,2017
Credit Card Fraud,"$67,455",Alaska,2017
Crimes Against Children,$0,Alaska,2017
Criminal Forums,$0,Alaska,2017
Denial of Service/TDos,$0,Alaska,2017
Employment,"$37,006",Alaska,2017
Extortion,"$58,454",Alaska,2017
Gambling,$650,Alaska,2017
Government Impersonation,"$12,392",Alaska,2017
Hacktivist,$0,Alaska,2017
Harassment/Threats of Violence,"$2,936",Alaska,2017
Health Care Related,$0,Alaska,2017
IPR/Copyright and Counterfeit,$805,Alaska,2017
Identity Theft,"$190,216",Alaska,2017
Investment,"$137,901",Alaska,2017
Lottery/Sweepstakes/Inheritance,"$61,859",Alaska,2017
Malware/Scareware/Virus,$100,Alaska,2017
Misrepresentation,"$2,870",Alaska,2017
No Lead Value,$0,Alaska,2017
Non-payment/Non-Delivery,"$155,251",Alaska,2017
Other,"$15,347",Alaska,2017
Overpayment,"$113,701",Alaska,2017
Personal Data Breach,"$207,308",Alaska,2017
Phishing/Vishing/Smishing/Pharming,"$22,849",Alaska,2017
Ransomware,"$4,178",Alaska,2017
Re-shipping,$986,Alaska,2017
Real Estate/Rental,"$31,463",Alaska,2017
Spoofing,$0,Alaska,2017
Tech Support,"$108,814",Alaska,2017
Terrorism,$0,Alaska,2017
Social Media,"$171,151",Alaska,2017
Virtual Currency,"$4,138",Alaska,2017
Advanced Fee,$0,American Samoa,2017
BEC/EAC,$0,American Samoa,2017
Charity,$0,American Samoa,2017
Civil Matter,$0,American Samoa,2017
Confidence Fraud/Romance,$0,American Samoa,2017
Corporate Data Breach,$0,American Samoa,2017
Credit Card Fraud,$0,American Samoa,2017
Crimes Against Children,$0,American Samoa,2017
Criminal Forums,$0,American Samoa,2017
Denial of Service/TDos,$0,American Samoa,2017
Employment,$0,American Samoa,2017
Extortion,$0,American Samoa,2017
Gambling,$0,American Samoa,2017
Government Impersonation,$0,American Samoa,2017
Hacktivist,$0,American Samoa,2017
Harassment/Threats of Violence,$0,American Samoa,2017
Health Care Related,$0,American Samoa,2017
IPR/Copyright and Counterfeit,$0,American Samoa,2017
Identity Theft,$0,American Samoa,2017
Investment,$200,American Samoa,2017
Lottery/Sweepstakes/Inheritance,$0,American Samoa,2017
Malware/Scareware/Virus,$0,American Samoa,2017
Misrepresentation,$0,American Samoa,2017
No Lead Value,$0,American Samoa,2017
Non-payment/Non-Delivery,"$2,000",American Samoa,2017
Other,$0,American Samoa,2017
Overpayment,$0,American Samoa,2017
Personal Data Breach,$0,American Samoa,2017
Phishing/Vishing/Smishing/Pharming,$0,American Samoa,2017
Ransomware,$0,American Samoa,2017
Re-shipping,$0,American Samoa,2017
Real Estate/Rental,$0,American Samoa,2017
Spoofing,$0,American Samoa,2017
Tech Support,$0,American Samoa,2017
Terrorism,$0,American Samoa,2017
Social Media,$0,American Samoa,2017
Virtual Currency,$0,American Samoa,2017
Advanced Fee,"$776,427",Arizona,2017
BEC/EAC,"$44,513,746",Arizona,2017
Charity,"$335,538",Arizona,2017
Civil Matter,"$114,198",Arizona,2017
Confidence Fraud/Romance,"$6,784,416",Arizona,2017
Corporate Data Breach,"$2,294,096",Arizona,2017
Credit Card Fraud,"$570,073",Arizona,2017
Crimes Against Children,$0,Arizona,2017
Criminal Forums,$0,Arizona,2017
Denial of Service/TDos,"$1,090",Arizona,2017
Employment,"$842,705",Arizona,2017
Extortion,"$265,724",Arizona,2017
Gambling,"$1,000",Arizona,2017
Government Impersonation,"$94,882",Arizona,2017
Hacktivist,$0,Arizona,2017
Harassment/Threats of Violence,"$715,755",Arizona,2017
Health Care Related,"$1,219",Arizona,2017
IPR/Copyright and Counterfeit,"$192,980",Arizona,2017
Identity Theft,"$1,162,880",Arizona,2017
Investment,"$1,154,171",Arizona,2017
Lottery/Sweepstakes/Inheritance,"$150,673",Arizona,2017
Malware/Scareware/Virus,"$36,456",Arizona,2017
Misrepresentation,"$350,353",Arizona,2017
No Lead Value,$0,Arizona,2017
Non-payment/Non-Delivery,"$2,927,480",Arizona,2017
Other,"$61,462",Arizona,2017
Overpayment,"$1,198,019",Arizona,2017
Personal Data Breach,"$1,073,423",Arizona,2017
Phishing/Vishing/Smishing/Pharming,"$297,390",Arizona,2017
Ransomware,"$15,785",Arizona,2017
Re-shipping,"$43,450",Arizona,2017
Real Estate/Rental,"$2,229,913",Arizona,2017
Spoofing,$0,Arizona,2017
Tech Support,"$355,463",Arizona,2017
Terrorism,$0,Arizona,2017
Social Media,"$369,268",Arizona,2017
Virtual Currency,"$732,741",Arizona,2017
Advanced Fee,"$202,957",Arkansas,2017
BEC/EAC,"$915,999",Arkansas,2017
Charity,$0,Arkansas,2017
Civil Matter,$100,Arkansas,2017
Confidence Fraud/Romance,"$1,182,198",Arkansas,2017
Corporate Data Breach,"$62,402",Arkansas,2017
Credit Card Fraud,"$411,919",Arkansas,2017
Crimes Against Children,$0,Arkansas,2017
Criminal Forums,$0,Arkansas,2017
Denial of Service/TDos,$400,Arkansas,2017
Employment,"$137,640",Arkansas,2017
Extortion,"$60,189",Arkansas,2017
Gambling,"$2,600",Arkansas,2017
Government Impersonation,"$46,985",Arkansas,2017
Hacktivist,$0,Arkansas,2017
Harassment/Threats of Violence,"$25,481",Arkansas,2017
Health Care Related,$0,Arkansas,2017
IPR/Copyright and Counterfeit,"$4,367",Arkansas,2017
Identity Theft,"$270,105",Arkansas,2017
Investment,"$114,000",Arkansas,2017
Lottery/Sweepstakes/Inheritance,"$107,940",Arkansas,2017
Malware/Scareware/Virus,"$10,581",Arkansas,2017
Misrepresentation,"$22,238",Arkansas,2017
No Lead Value,$0,Arkansas,2017
Non-payment/Non-Delivery,"$941,982",Arkansas,2017
Other,"$382,905",Arkansas,2017
Overpayment,"$176,823",Arkansas,2017
Personal Data Breach,"$517,167",Arkansas,2017
Phishing/Vishing/Smishing/Pharming,"$425,975",Arkansas,2017
Ransomware,"$8,331",Arkansas,2017
Re-shipping,$0,Arkansas,2017
Real Estate/Rental,"$20,126",Arkansas,2017
Spoofing,$0,Arkansas,2017
Tech Support,"$185,507",Arkansas,2017
Terrorism,$0,Arkansas,2017
Social Media,"$469,620",Arkansas,2017
Virtual Currency,"$182,555",Arkansas,2017
Advanced Fee,"$7,201,726",California,2017
BEC/EAC,"$106,225,791",California,2017
Charity,"$10,408",California,2017
Civil Matter,"$1,027,706",California,2017
Confidence Fraud/Romance,"$31,622,647",California,2017
Corporate Data Breach,"$7,805,797",California,2017
Credit Card Fraud,"$11,485,551",California,2017
Crimes Against Children,"$1,050",California,2017
Criminal Forums,$0,California,2017
Denial of Service/TDos,"$34,307",California,2017
Employment,"$7,048,026",California,2017
Extortion,"$1,725,544",California,2017
Gambling,"$13,489",California,2017
Government Impersonation,"$1,332,356",California,2017
Hacktivist,$0,California,2017
Harassment/Threats of Violence,"$1,571,047",California,2017
Health Care Related,"$119,408",California,2017
IPR/Copyright and Counterfeit,"$1,750,437",California,2017
Identity Theft,"$10,216,795",California,2017
Investment,"$9,720,720",California,2017
Lottery/Sweepstakes/Inheritance,"$2,861,498",California,2017
Malware/Scareware/Virus,"$400,701",California,2017
Misrepresentation,"$3,524,662",California,2017
No Lead Value,$0,California,2017
Non-payment/Non-Delivery,"$21,235,593",California,2017
Other,"$3,945,903",California,2017
Overpayment,"$7,226,026",California,2017
Personal Data Breach,"$9,355,626",California,2017
Phishing/Vishing/Smishing/Pharming,"$3,032,022",California,2017
Ransomware,"$600,727",California,2017
Re-shipping,"$79,517",California,2017
